Replicon	models
ACBA002.0321.00082.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00083.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00083.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00083.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00083.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00084.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00084.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00084.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00084.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00084.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00085.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00085.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00086.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00086.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00087.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00087.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00088.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00088.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00089.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00089.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00089.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00089.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00090.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00090.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00090.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00091.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00091.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00091.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00092.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00092.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00092.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00092.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00092.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
